1248.92578125+0i,0.854777700498803+0i
1251.61743164062+0i,0.819576434691632+0i
1254.30908203125+0i,0.827561465126928+0i
1257.00073242188+0i,0.80338638856016+0i
1259.6923828125+0i,0.777126326205955+0i
1262.38403320312+0i,0.74194726123895+0i
1265.07568359375+0i,0.766516925670575+0i
1267.76733398438+0i,0.768932066217542+0i
1270.458984375+0i,0.757108992191732+0i
1273.15063476562+0i,0.780297136047838+0i
1275.84228515625+0i,0.803687347853581+0i
1278.53393554688+0i,0.807531984785882+0i
1281.2255859375+0i,0.829219792094998+0i
1283.91723632812+0i,0.836169928899081+0i
1286.60888671875+0i,0.870601330883261+0i
1289.30053710938+0i,0.894210069204725+0i
1291.9921875+0i,0.934477257913472+0i
1294.68383789062+0i,0.950623995694173+0i
1297.37548828125+0i,0.906013005605437+0i
1300.06713867188+0i,0.91661835838887+0i
1302.7587890625+0i,0.961430707636659+0i
1305.45043945312+0i,1.00062990562365+0i
1308.14208984375+0i,0.972041102790018+0i
1310.83374023438+0i,0.953140939994839+0i
1313.525390625+0i,0.944364119262251+0i
1316.21704101562+0i,0.898245886334009+0i
1318.90869140625+0i,0.857818823074977+0i
1321.60034179688+0i,0.839939098939844+0i
1324.2919921875+0i,0.79265346645782+0i
1326.98364257812+0i,0.778129117256168+0i
1329.67529296875+0i,0.765172689724095+0i
1332.36694335938+0i,0.704462464290141+0i
1335.05859375+0i,0.658646998686743+0i
1337.75024414062+0i,0.684099442613662+0i
1340.44189453125+0i,0.673321318964213+0i
1343.13354492188+0i,0.629532027849115+0i
1345.8251953125+0i,0.604823792225095+0i
1348.51684570312+0i,0.644550370483822+0i
1351.20849609375+0i,0.64379945351611+0i
1353.90014648438+0i,0.618497355134519+0i
1356.591796875+0i,0.622379631104709+0i
1359.28344726562+0i,0.628703056710474+0i
1361.97509765625+0i,0.643722790082268+0i
1364.66674804688+0i,0.656131288977207+0i
1367.3583984375+0i,0.657926230171454+0i
1370.05004882812+0i,0.691986402956569+0i
